Date,Open,High,Low,Close,Volume
8/1/2022 16:00:00,277.82,281.28,275.84,278.01,21539580
8/2/2022 16:00:00,276,277.89,272.38,274.82,22754184
8/3/2022 16:00:00,276.76,283.5,276.61,282.47,23518874
8/4/2022 16:00:00,281.8,283.8,280.17,283.65,18098668
8/5/2022 16:00:00,279.15,283.65,278.68,282.91,16774606
8/8/2022 16:00:00,284.05,285.92,279.32,280.32,18757818
8/9/2022 16:00:00,279.64,283.08,277.61,282.3,23405238
8/10/2022 16:00:00,288.17,289.81,286.94,289.16,24687845
8/11/2022 16:00:00,290.85,291.21,286.51,287.02,20065938
8/12/2022 16:00:00,288.48,291.91,286.94,291.91,22619675
8/15/2022 16:00:00,291,294.18,290.11,293.47,18085654
8/16/2022 16:00:00,291.99,294.04,290.42,292.71,18102882
8/17/2022 16:00:00,289.74,293.35,289.47,291.32,18253358
8/18/2022 16:00:00,290.19,291.91,289.08,290.17,17186192
8/19/2022 16:00:00,288.9,289.25,285.56,286.15,20570033
8/22/2022 16:00:00,282.08,282.46,277.22,277.75,25061070
8/23/2022 16:00:00,276.44,278.86,275.4,276.44,17527409
8/24/2022 16:00:00,275.41,277.23,275.11,275.79,18137019
8/25/2022 16:00:00,277.33,279.02,274.52,278.85,16583407
8/26/2022 16:00:00,279.08,280.34,267.98,268.09,27549307
8/29/2022 16:00:00,265.85,267.4,263.85,265.23,20338544
8/30/2022 16:00:00,266.67,267.05,260.66,262.97,22767071
8/31/2022 16:00:00,265.39,267.11,261.33,261.47,24791834
9/1/2022 16:00:00,258.87,260.89,255.41,260.4,23263431
9/2/2022 16:00:00,261.7,264.74,254.47,256.06,22855380
9/6/2022 16:00:00,256.2,257.83,251.94,253.25,21328242
9/7/2022 16:00:00,254.7,258.83,253.22,258.09,24126700
9/8/2022 16:00:00,257.51,260.43,254.79,258.52,20319911
9/9/2022 16:00:00,260.5,265.23,260.29,264.46,22093190
9/12/2022 16:00:00,265.78,267.45,265.16,266.65,18747690
9/13/2022 16:00:00,258.84,260.4,251.59,251.99,33353318
9/14/2022 16:00:00,253.53,254.23,249.86,252.22,23912954
9/15/2022 16:00:00,249.77,251.4,244.02,245.38,31530948
9/16/2022 16:00:00,244.26,245.3,242.06,244.74,39791768
9/19/2022 16:00:00,242.47,245.14,240.85,244.52,26826931
9/20/2022 16:00:00,242.07,243.51,239.64,242.45,26660299
9/21/2022 16:00:00,244.27,247.66,238.9,238.95,28625557
9/22/2022 16:00:00,237.87,243.86,237.57,240.98,31061162
9/23/2022 16:00:00,239.54,241.13,235.2,237.92,34176048
9/26/2022 16:00:00,237.05,241.45,236.9,237.45,27694190
9/27/2022 16:00:00,239.98,241.8,234.5,236.41,27018732
9/28/2022 16:00:00,236.81,242.33,234.73,241.07,29029679
9/29/2022 16:00:00,238.89,239.95,234.41,237.5,27484233
9/30/2022 16:00:00,238.29,240.54,232.73,232.9,35694832
10/3/2022 16:00:00,235.41,241.61,234.66,240.74,28880357
10/4/2022 16:00:00,245.09,250.36,244.98,248.88,34888416
10/5/2022 16:00:00,245.99,250.58,244.1,249.2,20347136
10/6/2022 16:00:00,247.93,250.34,246.08,246.79,20239886
10/7/2022 16:00:00,240.9,241.32,233.17,234.24,37769602
10/10/2022 16:00:00,233.05,234.56,226.73,229.25,29743608
10/11/2022 16:00:00,227.62,229.06,224.11,225.41,30473954
10/12/2022 16:00:00,225.4,227.86,223.96,225.75,21903937
10/13/2022 16:00:00,219.85,236.1,219.13,234.24,42551818
10/14/2022 16:00:00,235.54,237.24,228.34,228.56,30198588
10/17/2022 16:00:00,235.82,238.96,235.14,237.53,28142268
10/18/2022 16:00:00,243.24,243.93,235.37,238.5,26329591
10/19/2022 16:00:00,237.04,239.61,234.29,236.48,19985698
10/20/2022 16:00:00,235.77,241.31,234.87,236.15,21811015
10/21/2022 16:00:00,234.74,243,234.5,242.12,26299733
10/24/2022 16:00:00,243.76,247.84,241.3,247.25,24911212
10/25/2022 16:00:00,247.26,251.04,245.83,250.66,34775505
10/26/2022 16:00:00,231.17,238.3,230.06,231.32,82684846
10/27/2022 16:00:00,231.04,233.69,225.78,226.75,40424645
10/28/2022 16:00:00,226.24,236.6,226.05,235.87,40647724
10/31/2022 16:00:00,233.76,234.92,231.15,232.13,28357265
11/1/2022 16:00:00,234.6,235.74,227.33,228.17,30592271
11/2/2022 16:00:00,229.46,231.3,220.04,220.1,38407008
11/3/2022 16:00:00,220.09,220.41,213.98,214.25,36633922
11/4/2022 16:00:00,217.55,221.59,213.43,221.39,36789063
11/7/2022 16:00:00,221.99,228.41,221.28,227.87,33497979
11/8/2022 16:00:00,228.7,231.65,225.84,228.87,28192548
11/9/2022 16:00:00,227.37,228.63,224.33,224.51,27852910
11/10/2022 16:00:00,235.43,243.33,235,242.98,46268021
11/11/2022 16:00:00,242.99,247.99,241.93,247.11,34620246
11/14/2022 16:00:00,241.99,243.91,239.21,241.55,31123340
11/15/2022 16:00:00,245.66,247,240.03,241.97,31390117
11/16/2022 16:00:00,242.79,243.8,240.42,241.73,24093272
11/17/2022 16:00:00,237.78,243.25,237.63,241.68,23123544
11/18/2022 16:00:00,243.51,243.74,239.03,241.22,27613523
11/21/2022 16:00:00,241.43,244.67,241.19,242.05,26394700
11/22/2022 16:00:00,243.59,245.31,240.71,245.03,19665699
11/23/2022 16:00:00,245.11,248.28,244.27,247.58,19508462
11/25/2022 13:05:00,247.31,248.7,246.73,247.49,9200772
11/28/2022 16:00:00,246.08,246.65,240.8,241.76,24810271
11/29/2022 16:00:00,241.4,242.79,238.21,240.33,17956313
11/30/2022 16:00:00,240.57,255.33,239.86,255.14,47594239
12/1/2022 16:00:00,253.87,256.12,250.92,254.69,26041524
12/2/2022 16:00:00,249.82,256.06,249.69,255.02,21528520
12/5/2022 16:00:00,252.01,253.82,248.06,250.2,23435294
12/6/2022 16:00:00,250.82,251.86,243.78,245.12,22463727
12/7/2022 16:00:00,244.83,246.16,242.21,244.37,20481522
12/8/2022 16:00:00,244.84,248.74,243.06,247.4,22611757
12/9/2022 16:00:00,244.7,248.31,244.16,245.42,20609743
12/12/2022 16:00:00,247.45,252.54,247.17,252.51,30665069
12/13/2022 16:00:00,261.69,263.92,253.07,256.92,42196884
12/14/2022 16:00:00,257.13,262.59,254.31,257.22,35410933
12/15/2022 16:00:00,253.72,254.2,247.34,249.01,35568093
12/16/2022 16:00:00,248.55,249.84,243.51,244.69,86101994
12/19/2022 16:00:00,244.86,245.21,238.71,240.45,29696436
12/20/2022 16:00:00,239.4,242.91,238.42,241.8,25150802
12/21/2022 16:00:00,241.69,245.62,240.11,244.43,23690607
12/22/2022 16:00:00,241.26,241.99,233.87,238.19,28651664
12/23/2022 16:00:00,236.11,238.87,233.94,238.73,21206982
12/27/2022 16:00:00,238.7,238.93,235.83,236.96,16688648
12/28/2022 16:00:00,236.89,239.72,234.17,234.53,17457104
12/29/2022 16:00:00,235.65,241.92,235.65,241.01,19770693
12/30/2022 16:00:00,238.21,239.96,236.66,239.82,21938472
1/3/2023 16:00:00,243.08,245.75,237.4,239.58,25740036
1/4/2023 16:00:00,232.28,232.87,225.96,229.1,50623394
1/5/2023 16:00:00,227.2,227.55,221.76,222.31,39585623
1/6/2023 16:00:00,223,225.76,219.35,224.93,43613574
1/9/2023 16:00:00,226.45,231.24,226.41,227.12,27369784
1/10/2023 16:00:00,227.76,231.31,227.33,228.85,27033881
1/11/2023 16:00:00,231.29,235.95,231.11,235.77,28669331
1/12/2023 16:00:00,235.26,239.9,233.56,238.51,27269486
1/13/2023 16:00:00,237,239.37,234.92,239.23,21333265
1/17/2023 16:00:00,237.97,240.91,237.09,240.35,29831257
1/18/2023 16:00:00,241.57,242.38,235.52,235.81,30028692
1/19/2023 16:00:00,233.78,235.52,230.68,231.93,28623033
1/20/2023 16:00:00,234.86,240.74,234.51,240.22,35389809
1/23/2023 16:00:00,241.1,245.17,239.65,242.58,31933951
1/24/2023 16:00:00,242.5,243.95,240.44,242.04,40234444
1/25/2023 16:00:00,234.48,243.3,230.9,240.61,66526641
1/26/2023 16:00:00,243.65,248.31,242,248,33454491
1/27/2023 16:00:00,248.99,249.83,246.83,248.16,26498939
1/30/2023 16:00:00,244.51,245.6,242.2,242.71,25867365
1/31/2023 16:00:00,243.45,247.95,242.95,247.81,26541072
2/1/2023 16:00:00,248,255.18,245.47,252.75,31259912
2/2/2023 16:00:00,258.82,264.69,257.25,264.6,39940437
2/3/2023 16:00:00,259.54,264.2,257.1,258.35,29077256
2/6/2023 16:00:00,257.44,258.3,254.78,256.77,22517997
2/7/2023 16:00:00,260.53,268.77,260.08,267.56,50841365
2/8/2023 16:00:00,273.2,276.76,266.21,266.73,54686049
2/9/2023 16:00:00,273.8,273.98,262.8,263.62,42375102
2/10/2023 16:00:00,261.53,264.09,260.66,263.1,25818489
2/13/2023 16:00:00,267.64,274.6,267.15,271.32,44630921
2/14/2023 16:00:00,272.67,274.97,269.28,272.17,37047924
2/15/2023 16:00:00,268.32,270.73,266.18,269.32,28962163
2/16/2023 16:00:00,264.02,266.74,261.9,262.15,29603616
2/17/2023 16:00:00,259.39,260.09,256,258.06,30000055
2/21/2023 16:00:00,254.48,255.49,251.59,252.67,28397444
2/22/2023 16:00:00,254.09,254.34,250.34,251.51,22491056
2/23/2023 16:00:00,255.56,256.84,250.48,254.77,29219095
2/24/2023 16:00:00,249.96,251,248.1,249.22,24990905
2/27/2023 16:00:00,252.46,252.82,249.39,250.16,21190042
2/28/2023 16:00:00,249.07,251.49,248.73,249.42,22490950
3/1/2023 16:00:00,250.76,250.93,245.79,246.27,27565259
3/2/2023 16:00:00,246.55,251.4,245.61,251.11,24833646
3/3/2023 16:00:00,252.19,255.62,251.39,255.29,30760136
3/6/2023 16:00:00,256.43,260.12,255.98,256.87,24109849
3/7/2023 16:00:00,256.3,257.69,253.39,254.15,21473179
3/8/2023 16:00:00,254.04,254.54,250.81,253.7,17340217
3/9/2023 16:00:00,255.82,259.56,251.58,252.32,26653387
3/10/2023 16:00:00,251.08,252.79,247.6,248.59,28333930
